iter	Passed	Remaining
0	61	61303
1	62	30944
2	62	20801
3	63	15797
4	64	12741
5	64	10718
6	65	9277
7	66	8193
8	67	7379
9	67	6705
10	68	6170
11	69	5698
12	69	5300
13	70	4958
14	71	4668
15	71	4407
16	72	4173
17	72	3966
18	73	3790
19	74	3629
20	74	3479
21	75	3340
22	75	3220
23	76	3110
24	77	3009
25	77	2914
26	78	2825
27	78	2740
28	80	2689
29	83	2705
30	84	2638
31	85	2584
32	86	2523
33	86	2463
34	87	2405
35	87	2353
36	88	2308
37	89	2262
38	90	2232
39	91	2198
40	92	2165
41	93	2130
42	94	2094
43	94	2060
44	104	2227
45	116	2418
46	117	2389
47	118	2351
48	120	2341
49	121	2304
50	121	2269
51	122	2237
52	123	2204
53	123	2171
54	124	2139
55	125	2107
56	125	2077
57	126	2047
58	126	2021
59	127	1994
60	128	1974
61	129	1953
62	129	1927
63	130	1904
64	130	1882
65	131	1859
66	131	1837
67	132	1814
68	132	1793
69	133	1773
70	134	1754
71	134	1735
72	135	1716
73	135	1699
74	136	1681
75	136	1665
76	137	1649
77	138	1632
78	138	1617
79	139	1600
80	139	1585
81	140	1571
82	140	1553
83	141	1538
84	141	1524
85	142	1515
86	143	1504
87	143	1492
88	145	1484
89	145	1472
90	146	1460
91	146	1447
92	147	1435
93	147	1423
94	148	1411
95	148	1400
96	149	1390
97	150	1381
98	150	1370
99	151	1361
100	151	1351
101	152	1340
102	152	1331
103	153	1321
104	153	1311
105	154	1302
106	154	1293
107	155	1283
108	155	1275
109	156	1265
110	157	1258
111	157	1250
112	158	1242
113	158	1234
114	159	1226
115	159	1218
116	160	1209
117	161	1203
118	161	1195
119	162	1188
120	162	1180
121	162	1172
122	163	1165
123	163	1158
124	164	1151
125	165	1145
126	165	1137
127	166	1131
128	166	1124
129	167	1118
130	167	1112
131	168	1106
132	168	1100
133	169	1094
134	169	1087
135	170	1081
136	170	1075
137	171	1069
138	171	1065
139	172	1060
140	173	1055
141	173	1048
142	174	1042
143	174	1037
144	175	1032
145	175	1026
146	176	1021
147	176	1016
148	177	1011
149	177	1006
150	178	1001
151	178	997
152	179	993
153	179	988
154	180	983
155	181	979
156	181	974
157	181	969
158	182	964
159	182	959
160	183	954
161	183	950
162	184	945
163	184	941
164	185	937
165	185	934
166	186	931
167	187	930
168	188	925
169	188	922
170	189	918
171	190	914
172	190	910
173	191	906
174	191	902
175	192	899
176	192	895
177	193	891
178	193	888
179	194	884
180	194	881
181	195	878
182	195	875
183	196	871
184	197	868
185	197	864
186	198	861
187	198	857
188	199	854
189	199	850
190	200	847
191	200	844
192	201	841
193	201	838
194	202	835
195	202	832
196	203	829
197	203	825
198	204	822
199	204	819
200	205	816
201	205	813
202	206	810
203	207	807
204	207	804
205	208	801
206	208	798
207	209	795
208	209	793
209	210	790
210	210	787
211	211	785
212	211	782
213	212	779
214	212	776
215	213	773
216	213	771
217	214	768
218	214	765
219	215	762
220	215	759
221	216	758
222	217	756
223	217	754
224	218	752
225	219	750
226	219	747
227	220	745
228	220	742
229	221	740
230	221	737
231	222	734
232	222	732
233	223	730
234	223	727
235	224	725
236	224	722
237	224	720
238	225	718
239	225	715
240	226	713
241	226	710
242	227	708
243	228	706
244	228	704
245	228	701
246	229	699
247	229	697
248	230	695
249	231	693
250	231	691
251	232	689
252	232	687
253	233	685
254	233	683
255	234	681
256	235	680
257	235	677
258	236	675
259	236	673
260	237	672
261	238	670
262	238	669
263	239	667
264	240	666
265	240	664
266	241	662
267	241	660
268	242	658
269	242	656
270	243	654
271	244	653
272	244	651
273	245	649
274	246	648
275	246	647
276	247	645
277	247	643
278	248	642
279	249	640
280	249	638
281	250	636
282	250	634
283	250	632
284	251	630
285	252	629
286	252	627
287	253	625
288	253	624
289	254	622
290	255	621
291	255	619
292	256	617
293	256	615
294	256	614
295	257	612
296	257	610
297	258	608
298	258	606
299	259	605
300	259	603
301	260	602
302	261	600
303	261	598
304	262	597
305	262	596
306	263	594
307	263	592
308	264	591
309	264	589
310	265	587
311	265	586
312	266	584
313	266	582
314	267	580
315	267	579
316	268	577
317	268	576
318	269	575
319	270	573
320	270	572
321	271	570
322	271	569
323	272	567
324	272	566
325	273	564
326	273	563
327	274	561
328	274	560
329	275	558
330	275	557
331	276	555
332	276	554
333	277	552
334	277	551
335	278	549
336	278	548
337	279	547
338	279	545
339	280	544
340	280	542
341	281	541
342	282	540
343	282	538
344	283	537
345	283	536
346	284	534
347	284	533
348	285	531
349	285	530
350	285	528
351	286	527
352	286	525
353	287	524
354	287	522
355	288	521
356	288	520
357	289	518
358	289	517
359	290	515
360	291	515
361	292	515
362	292	513
363	293	512
364	294	511
365	294	510
366	294	508
367	295	507
368	295	506
369	296	504
370	296	503
371	297	502
372	297	500
373	298	499
374	298	498
375	299	496
376	299	495
377	300	493
378	300	492
379	300	491
380	301	489
381	301	488
382	302	487
383	302	485
384	303	484
385	303	482
386	304	481
387	304	480
388	305	479
389	305	478
390	306	477
391	306	476
392	307	474
393	307	473
394	308	472
395	309	471
396	309	470
397	310	468
398	310	467
399	310	466
400	311	465
401	312	464
402	312	463
403	313	462
404	313	461
405	314	460
406	315	459
407	315	458
408	316	456
409	316	455
410	317	454
411	317	453
412	318	452
413	318	451
414	319	450
415	319	449
416	321	450
417	322	449
418	323	448
419	323	447
420	324	446
421	324	444
422	325	443
423	325	442
424	326	441
425	326	440
426	327	439
427	327	438
428	328	437
429	329	436
430	329	435
431	330	434
432	330	432
433	331	431
434	331	430
435	332	429
436	332	428
437	333	427
438	333	426
439	334	425
440	334	424
441	337	425
442	338	426
443	339	425
444	340	424
445	341	424
446	342	423
447	343	423
448	344	423
449	345	422
450	346	422
451	347	421
452	348	420
453	349	419
454	350	419
455	352	420
456	353	420
457	354	419
458	354	418
459	355	417
460	355	416
461	356	415
462	357	414
463	357	413
464	358	412
465	358	411
466	359	410
467	359	409
468	360	408
469	360	407
